epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1306.09,1.52539,1.43118,1.25363,0.4259,0.39312,0.33669,0.18912,1.82208,1.82043,1.38181,0.000333155,0.000333155,0.0670176
2,2562.77,1.42845,1.30321,1.21343,0.49844,0.44496,0.38032,0.23582,1.64583,1.64924,1.3251,0.000666416,0.000666416,0.0340175
3,3807.12,1.36031,1.23675,1.18064,0.53846,0.44781,0.41385,0.26915,1.52305,1.47371,1.2689,0.000999388,0.000999388,0.00101718
4,5036.27,1.28476,1.16674,1.1484,0.55662,0.49018,0.45944,0.30251,1.44774,1.38196,1.20503,0.000999023,0.000999023,0.000999023
5,6271.23,1.22487,1.11011,1.12156,0.5695,0.50921,0.47957,0.31657,1.3816,1.30086,1.17477,0.000998264,0.000998264,0.000998264
6,7501.79,1.1918,1.07929,1.10676,0.57986,0.52312,0.50202,0.33801,1.32674,1.2535,1.15269,0.000997288,0.000997288,0.000997288
7,8735.48,1.16563,1.05591,1.0957,0.60576,0.52988,0.51576,0.35072,1.28635,1.21473,1.12949,0.000996097,0.000996097,0.000996097
8,9969.72,1.13872,1.02634,1.0818,0.61753,0.55569,0.54106,0.37034,1.27944,1.17246,1.11192,0.00099469,0.00099469,0.00099469
9,11197.6,1.11918,1.00811,1.07362,0.63066,0.55153,0.54039,0.37586,1.23691,1.14961,1.10166,0.000993068,0.000993068,0.000993068
10,12427.5,1.10322,0.98784,1.06605,0.62687,0.55878,0.54596,0.38317,1.21007,1.1154,1.0916,0.000991232,0.000991232,0.000991232
11,13679.7,1.08706,0.9768,1.05875,0.64784,0.56085,0.55819,0.39327,1.18623,1.08784,1.07628,0.000989183,0.000989183,0.000989183
12,14941.3,1.07514,0.9621,1.0519,0.6476,0.57596,0.56838,0.39744,1.18821,1.07119,1.07219,0.000986922,0.000986922,0.000986922
13,16196.8,1.06591,0.9523,1.04921,0.65802,0.57648,0.5768,0.40702,1.16215,1.05102,1.06381,0.000984449,0.000984449,0.000984449
14,1296.99,1.0519,0.93593,1.04141,0.65943,0.58063,0.58054,0.41121,1.15584,1.04303,1.06326,0.000981765,0.000981765,0.000981765
15,2589.62,1.04061,0.92587,1.03743,0.65572,0.58452,0.58636,0.41781,1.1393,1.02371,1.05696,0.000978873,0.000978873,0.000978873
16,3884.01,1.03639,0.91961,1.0338,0.66082,0.598,0.59472,0.42583,1.12692,1.01616,1.04854,0.000975773,0.000975773,0.000975773
17,1301.85,0.99377,0.8763,1.01497,0.66761,0.5985,0.60257,0.42842,1.13335,0.99468,1.04696,0.000972466,0.000972466,0.000972466
18,2596.16,0.98786,0.87112,1.01311,0.66757,0.5965,0.60358,0.43171,1.10959,0.98748,1.0432,0.000968955,0.000968955,0.000968955
19,1304.85,0.95295,0.83172,0.99541,0.67008,0.60213,0.60909,0.43593,1.11408,0.97726,1.04376,0.000965239,0.000965239,0.000965239
20,2587.26,0.96414,0.84138,1.00069,0.6677,0.60803,0.61116,0.43755,1.11495,0.9756,1.04455,0.000961322,0.000961322,0.000961322
21,3860.8,0.99882,0.87437,1.01627,0.67284,0.60996,0.61549,0.44142,1.10211,0.96918,1.03616,0.000957205,0.000957205,0.000957205
22,5133.46,1.00259,0.88101,1.01961,0.67412,0.60703,0.61942,0.44637,1.08934,0.96482,1.03053,0.000952889,0.000952889,0.000952889
23,6411,0.98737,0.86619,1.01289,0.6795,0.61146,0.62455,0.44988,1.08482,0.95611,1.02591,0.000948377,0.000948377,0.000948377
24,7675.02,0.98285,0.86052,1.00989,0.67843,0.61578,0.62845,0.45515,1.07964,0.95174,1.02228,0.000943671,0.000943671,0.000943671
25,8935.53,0.97575,0.85473,1.00793,0.6828,0.61638,0.63087,0.45774,1.07283,0.94531,1.01838,0.000938772,0.000938772,0.000938772
26,10200.1,0.96582,0.84361,1.00229,0.68405,0.61763,0.63346,0.46135,1.06519,0.93931,1.0152,0.000933683,0.000933683,0.000933683
27,11470,0.96271,0.83792,1.00047,0.67731,0.6235,0.63549,0.46429,1.05591,0.93265,1.01292,0.000928405,0.000928405,0.000928405
28,12740.1,0.9529,0.82799,0.9971,0.67677,0.62916,0.63838,0.46693,1.05158,0.92821,1.01073,0.000922942,0.000922942,0.000922942
29,14008.2,0.94979,0.82608,0.99558,0.68223,0.62964,0.64076,0.46921,1.04532,0.92383,1.00876,0.000917296,0.000917296,0.000917296
